product_id,product_name,manufacturer_code,manufacturer_name,group_id,group_name,brand_id,brand_name,cls_1,cls_2,cls_3,category,unit,spec,package,launch_time,price
30324551317194,康师傅冰红茶热带水果味330ml*12,697387013,康师傅饮品投资(中国)有限公司,1000000019,康师傅,1010000195.0,康师傅,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,330ml*12,瓶,2023-08-25 11:07:23+08:00,
07278468218998,康师傅纯萃零糖云雾绿茶1L,697387013,康师傅饮品投资(中国)有限公司,1000000019,康师傅,1010000195.0,康师傅,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1000,1L,瓶,2022-04-13 17:05:24+08:00,4.5
80441328931748,康师傅冰红茶热带水果味310ml*24,697387013,康师傅饮品投资(中国)有限公司,1000000019,康师傅,1010000195.0,康师傅,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,310ml*24,罐,,
88732096527749,三得利京都福寿园绿茶饮料600ml,4901777,SUNTORY HOLDINGS LIMITED,1000001061,三得利,1010003582.0,三得利,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,600ml,瓶,2023-01-19 00:00:00+08:00,5.0
35398554235013,统一绿茶低糖茉莉味310ml,69253037,统一企业(中国)投资有限公司,1000000032,统一,1010000359.0,统一,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,310ml,罐,2021-06-13 08:37:44+08:00,2.75
36815687882639,康师傅乌龙茗茶500ml,69448399,康师傅(西安)饮品有限公司,1000000019,康师傅,1010000195.0,康师傅,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,500ml,瓶,2018-01-15 15:36:13+08:00,3.0
75806921537705,三得利BOSS红茶饮料什锦水果味450ml,4901777,SUNTORY HOLDINGS LIMITED,1000001061,三得利,1010003582.0,三得利,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,450ml,瓶,2021-06-26 19:10:05+08:00,11.0
18571331717768,康师傅绿茶冰糖菊花味500ml,69204599,杭州顶津食品有限公司,1000000019,康师傅,1010000195.0,康师傅,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,500ml,瓶,2020-04-06 13:50:12+08:00,2.5
49450553117220,农夫山泉东方树叶黑乌龙茶原味900ml*12,69211685,农夫山泉股份有限公司,1000000028,农夫山泉,1010000323.0,东方树叶,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1,900ml*12,瓶,2023-12-09 00:00:00+08:00,75.0
46950891062198,康师傅茉莉蜜茶2L,69212943,广州顶津食品有限公司,1000000019,康师傅,1010000195.0,康师傅,饮料和酒,饮料,即饮茶和奶茶,即饮茶,1000,2L,瓶,2017-08-01 00:00:00+08:00,7.75
